,id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,clean_ingredients,ingredient_count,timeMins,imageURL
117,Prize-Winning-Baby-Back-Ribs-Allrecipes,prize winning baby back ribs,5.0,5700.0,[Main Dishes],"[Barbecue, Southwestern, American]","[ground cumin, chili powder, paprika, pepper, salt, pork baby back ribs, barbecue sauce]","['cumin', 'chili powder', 'paprika', 'pepper', 'salt', 'pork baby rib', 'barbecue sauce']",7,95.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.vSIFF6MbS1uCTZDv2YInmQHaHa%26pid%3DApi&f=1&ipt=0eed433e35d8b98aa9eda182f4f05947009b349f2da647bb4a5bf085d17c2233&ipo=images
118,Artichokes-Allrecipes,artichokes,4.0,1500.0,,[American],"[artichokes, butter, garlic, pepper, salt]","['artichoke', 'butter', 'garlic', 'pepper', 'salt']",5,25.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.DZMDGXqAggrD-a_96E5DEQHaE8%26pid%3DApi&f=1&ipt=5539fc4169f51f92362f62204e31f63792c9168db256448657f8aceab6a996e8&ipo=images
119,Roasted-Carrots-with-Dill-540002,roasted carrots with dill,4.0,,[Side Dishes],[American],"[carrots, olive oil, dill, kosher salt, pepper, cooking oil]","['carrot', 'olive oil', 'dill', 'kosher salt', 'pepper', 'cooking oil']",6,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.YR-RnqVyN-1k--MuEEPY2gHaLH%26pid%3DApi&f=1&ipt=f369484483662d7d511897edb07ab8993daa2846e1951aeda55e370a8a2e86b8&ipo=images
120,Cranberry-Sauce-Closet-Cooking-58308,cranberry sauce,5.0,1800.0,"[Condiments and Sauces, Side Dishes]",[American],"[cranberries, water, sugar]","['cranberry', 'water', 'sugar']",3,30.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.HTmZMzeewaRKWME3F7ZEEQHaLF%26pid%3DApi&f=1&ipt=d05c23d9fc5ee2522a61985fbd0bd3c4feef3ea49e569df1bce21407be5a56c4&ipo=images
121,Banana-pudding-369019,banana pudding,5.0,1500.0,[Desserts],"[American, Southern & Soul Food]","[egg yolks, sugar, corn starch, whole milk, vanilla, butter, bananas, cooki vanilla wafer, heavy cream, powdered sugar]","['egg yolk', 'sugar', 'corn starch', 'milk', 'vanilla', 'butter', 'banana', 'cooki vanilla wafer', 'heavy cream', 'sugar']",10,25.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.5allfe1HMgwxHWAuFHTXxAAAAA%26pid%3DApi&f=1&ipt=bc8fef6261ba69a8bd8ed9151723a84f83aa2755d3e93f122757f98a020090d2&ipo=images
122,Homemade-Chocolate-Peanut-Butter-484132,homemade chocolate peanut butter,4.0,600.0,[Desserts],[American],"[honey roasted peanuts, vanilla extract, semi-sweet chocolate morsels, salt]","['peanut', 'vanilla extract', 'semi sweet chocolate morsel', 'salt']",4,10.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.1HK_EMC6pE7SJ8_pxHcpkQHaLG%26pid%3DApi&f=1&ipt=aa136256e91722ea78a1b275ebc780aa978a0973949e420df698b7f48acabb8b&ipo=images
123,Caramelized-Onion-Chicken-Soup-485776,caramelized onion chicken soup,4.0,3300.0,[Soups],[American],"[onions, garlic, cooked chicken, chicken stock, kosher salt]","['onion', 'garlic', 'chicken', 'chicken stock', 'kosher salt']",5,55.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.G58JjCkDi1FapPmzex_0PgHaHa%26pid%3DApi&f=1&ipt=a85a5afd8befab7221df97bdbf9e2b33eb437e9dc7bd9cca68ad355c72b79216&ipo=images
124,Smothered-Potatoes-Allrecipes,smothered potatoes,4.0,2400.0,[Side Dishes],[American],"[red potato, pepper, salt, all-purpose flour, onions, vegetable oil, water]","['potato', 'pepper', 'salt', 'all purpose flmy', 'onion', 'vegetable oil', 'water']",7,40.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.XKx6TYx5b3kLPcPz9N0VogHaLH%26pid%3DApi&f=1&ipt=9f8e782426952b9b07d485c3c8f20afc63088264a953e3e7b3c5f92ea7563992&ipo=images
125,Southern-Fried-Cabbage-Allrecipes,southern fried cabbage,5.0,900.0,[Side Dishes],"[Southern & Soul Food, American]","[bacon, vegetable oil, salt, ground black pepper, cabbage, white onion, white sugar]","['bacon', 'vegetable oil', 'salt', 'black pepper', 'cabbage', 'white onion', 'white sugar']",7,15.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.TKRbYcLQy1fNQkzFOhulHQHaHa%26pid%3DApi&f=1&ipt=51683348ccbec2037c1104b8410ff1d8199c60662a8dbcb0a2d507779c2e85ac&ipo=images
126,Pineapple-Upside-Down-Cake-471486,pineapple upside down cake,5.0,2100.0,[Desserts],[American],"[yellow cake mix, pineapple slices, margarine, cherries, brown sugar]","['yellow cake mix', 'pineapple slice', 'margarine', 'cherry', 'brown sugar']",5,35.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ff2M1edoUrBfLAdUd36dPQHaLH%26pid%3DApi&f=1&ipt=4731f1bb3eff5daeaa80ae4831d7dea505bf3571a9c0f4152cdb122652750693&ipo=images
127,Baby-red-potato-salad-351963,baby red potato salad,5.0,,[Salads],[American],"[red potato, green bell pepper, purple onion, scallions, dijon mustard, extra-virgin olive oil, red wine vinegar, reduced fat mayonnaise, salt, pepper]","['potato', 'bell pepper', 'purple onion', 'scallion', 'dijon mustard', 'extra virgin olive oil', 'wine vinegar', 'fat mayonnaise', 'salt', 'pepper']",10,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP._pTWFy_hPjIxBuc35c0OJgHaLH%26pid%3DApi&f=1&ipt=b565033060a13ee3703841d49f8d1efbd88be220ad7021a1a7d419312a801176&ipo=images
128,Turkey-Club-Sandwich-512518,turkey club sandwich,5.0,,[Lunch and Snacks],[American],"[white sandwich bread, mayonnaise, turkey breast, thick-cut bacon, tomatoes, lettuce]","['white sandwich bread', 'mayonnaise', 'turkey breast', 'thick cut bacon', 'tomato', 'lettuce']",6,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Cw-C6Ygc4csQ1tWgWB0yfwHaHa%26pid%3DApi&f=1&ipt=d59b04a08640c4c3406372d73fbb3f858c6d4b34fd3997ae11f45ef70919f601&ipo=images
129,Garlic-fries-347061,garlic fries,5.0,,"[Appetizers, Lunch and Snacks, Side Dishes]",[American],"[french fries, vegetable oil, garlic, finely chopped fresh parsley, salt]","['french fry', 'vegetable oil', 'garlic', 'parsley', 'salt']",5,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.8p2y0k1MGyWwTK2sR4n6fgHaLH%26pid%3DApi&f=1&ipt=0ec0de3d7e3eea1bffc0cb25d64be00e01d61960a0912c5a9a3a4ea4edc55162&ipo=images
130,Grilled-Cheese-Sandwich-Allrecipes,grilled cheese sandwich,5.0,1200.0,[Lunch and Snacks],[American],"[white bread, butter, cheddar cheese]","['white bread', 'butter', 'dar cheese']",3,20.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.I7yuDdwsXGnlVrJd9PHI7gHaJl%26pid%3DApi&f=1&ipt=3420f25ce786ea99af6d874d8b99ec3c959488bc11e1d34a4a9c881278005c42&ipo=images
131,Grilled-buffalo-chicken-pizza-303144,grilled buffalo chicken pizza,4.0,1500.0,[Main Dishes],[American],"[prebaked pizza crusts, ragu organic pasta sauc, buffalo chicken strip style, celery, shredded mozzarella cheese, blue cheese]","['pizza crust', 'ragu organic pastum sauc', 'buffalo chicken strip style', 'celery', 'mozzarella cheese', 'blue cheese']",6,25.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.NsafLRcb9aFgHb-c2O649AHaJQ%26pid%3DApi&f=1&ipt=a6e7b8efefcf45e18eac5ebd18301e2d0badbf689892128ddf1d158c59eaea1f&ipo=images
132,Pineapple-Limeade-Cooler-488571,pineapple limeade cooler,4.0,600.0,[Beverages],[American],"[pineapple juice, limeade, sierra mist, ice, lime wedges, mint leaves]","['pineapple juice', 'limeade', 'sierra mist', 'ice', 'ge', 'mint leaf']",6,10.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.RhqMDlTZUR2fm55mE6Bo3AAAAA%26pid%3DApi&f=1&ipt=02221744dce0c18ab6d110074f22191fdedb6fe61f4cd8935149f91780684c6f&ipo=images
